	;	Shine NPC table(ShineNPC.txt)																										
	#recordin	ShineNPC	GB_Game_Dice10	GBHouse	2198	1823	58	1	QuestNpc	GBDice																		
	#recordin	ShineNPC	GB_Game_Dice11	GBHouse	2388	1865	169	1	QuestNpc	GBDice																		
	#recordin	ShineNPC	GB_Game_Dice12	GBHouse	2457	1696	-104	1	QuestNpc	GBDice																		
	#recordin	ShineNPC	GB_Game_Dice13	GBHouse	2464	1504	-77	1	QuestNpc	GBDice																		
	#recordin	ShineNPC	GB_Game_Dice14	GBHouse	2382	1333	11	1	QuestNpc	GBDice																		
	#recordin	ShineNPC	GB_Game_Dice15	GBHouse	2194	1372	125	1	QuestNpc	GBDice																		
	#recordin	ShineNPC	GB_Game_Dice16	GBHouse	2060	1471	130	1	QuestNpc	GBDice																		
;	갬블 하우스 슬롯머신 게임기																											
	#recordin	ShineNPC	GB_SlotMachine_01_01	GBHouse	1813	1107	-127	1	QuestNpc	GBDice																		
	#recordin	ShineNPC	GB_SlotMachine_01_02	GBHouse	1782	1147	-127	1	QuestNpc	GBDice																		
	#recordin	ShineNPC	GB_SlotMachine_01_03	GBHouse	1750	1188	-127	1	QuestNpc	GBDice																		
	#recordin	ShineNPC	GB_SlotMachine_01_04	GBHouse	1448	1182	-52	1	QuestNpc	GBDice																		
	#recordin	ShineNPC	GB_SlotMachine_01_05	GBHouse	1415	1141	-52	1	QuestNpc	GBDice																		
	#recordin	ShineNPC	GB_SlotMachine_01_06	GBHouse	1384	1100	-52	1	QuestNpc	GBDice																		
	#recordin	ShineNPC	GB_SlotMachine_01_07	GBHouse	1327	749	10	1	QuestNpc	GBDice																		
	#recordin	ShineNPC	GB_SlotMachine_01_08	GBHouse	1378	739	10	1	QuestNpc	GBDice																		
	#recordin	ShineNPC	GB_SlotMachine_01_09	GBHouse	1429	730	10	1	QuestNpc	GBDice																		
	#recordin	ShineNPC	GB_SlotMachine_01_10	GBHouse	1767	729	-10	1	QuestNpc	GBDice																		
	#recordin	ShineNPC	GB_SlotMachine_01_11	GBHouse	1820	739	-10	1	QuestNpc	GBDice																		
	#recordin	ShineNPC	GB_SlotMachine_01_12	GBHouse	1872	748	-10	1	QuestNpc	GBDice																		
	#recordin	ShineNPC	GB_SlotMachine_02_01	GBHouse	1954	886	-121	1	QuestNpc	GBDice																		
	#recordin	ShineNPC	GB_SlotMachine_02_02	GBHouse	1927	931	-121	1	QuestNpc	GBDice																		
	#recordin	ShineNPC	GB_SlotMachine_02_03	GBHouse	1901	977	-121	1	QuestNpc	GBDice																		
	#recordin	ShineNPC	GB_SlotMachine_02_04	GBHouse	1876	1022	-121	1	QuestNpc	GBDice																		
	#recordin	ShineNPC	GB_SlotMachine_02_05	GBHouse	1325	1023	-59	1	QuestNpc	GBDice																		
	#recordin	ShineNPC	GB_SlotMachine_02_06	GBHouse	1297	979	-59	1	QuestNpc	GBDice																		
	#recordin	ShineNPC	GB_SlotMachine_02_07	GBHouse	1271	934	-59	1	QuestNpc	GBDice																		
	#recordin	ShineNPC	GB_SlotMachine_02_08	GBHouse	1245	890	-59	1	QuestNpc	GBDice																		
	#recordin	ShineNPC	GB_SlotMachine_03_01	GBHouse	1624	1211	0	1	QuestNpc	GBDice																		
	#recordin	ShineNPC	GB_SlotMachine_03_02	GBHouse	1570	1211	0	1	QuestNpc	GBDice																		
	#recordin	ShineNPC	GB_SlotMachine_03_03	GBHouse	1574	726	0	1	QuestNpc	GBDice																		
	#recordin	ShineNPC	GB_SlotMachine_03_04	GBHouse	1626	726	0	1	QuestNpc	GBDice																		
;	럭키 캡슐 이벤트																											
;	#recordin	ShineNPC	LC_Machine	RouN	5643	5333	-178	1	Merchant	Item																		
;	#recordin	ShineNPC	LC_Machine	Eld	13136	13082	0	1	Merchant	Item																		
;	#recordin	ShineNPC	LC_Machine	Urg	6359	6148	22	1	Merchant	Item																		
;	럭키 캡슐 다양화																											
	#recordin	ShineNPC	LC_MachineRed	GBHouse	1538	2250	-8	1	Merchant	Item																		
	#recordin	ShineNPC	LC_MachineBlue	GBHouse	1651	2250	-8	1	Merchant	Item																		
;	필드 게이트 위치 																											
;	루맨																											
	#recordin	ShineNPC	MapLinkGate	RouN	6477	10579	0	0	Gate	GateRou1																		
	#recordin	LinkTable								GateRou1	RouCos02	RouCos02	17418	13832	80	1												
	#recordin	ShineNPC	MapLinkGate	RouN	5983	4454	-178	0	Gate	GateRou2																		
	#recordin	LinkTable								GateRou2	RouCos01	RouCos01	8927	13504	17	1												
	#recordin	ShineNPC	MapLinkGate	RouN	7222	4370	-178	0	Gate	GateRou4																		
	#recordin	LinkTable								GateRou4	RouCos03	RouCos03	7514	15412	0	1												
	#recordin	ShineNPC	MapLinkGate01	RouCos02	8230	6660	158	0	Gate	GateRou5																		
	#recordin	LinkTable								GateRou5	IDGate01	IDGate01	389	1370	0	1												
	#recordin	ShineNPC	MapLinkGate	RouN	4801	4643	86	0	Gate	GateRou6																		
	#recordin	LinkTable								GateRou6	EventF	EventF	12450	7485	0	1												
	#recordin	ShineNPC	MapLinkGate	RouN	5311	4428	-178	0	Gate	GateRou7																		
	#recordin	LinkTable								GateRou7	EventF01	EventF01	10289	7178	0	1												
;	모래바다																											
	#recordin	ShineNPC	MapLinkGate	RouCos01	8989	13667	17	0	Gate	GateRouCos011																		
	#recordin	LinkTable								GateRouCos011	RouN	RouN	5983	4622	-75	1												
	#recordin	ShineNPC	MapLinkGate	RouCos01	16476	11039	-27	0	Gate	GateRouCos012																		
	#recordin	LinkTable								GateRouCos012	RouCos02	RouCos02	8423	10635	0	1												
	#recordin	ShineNPC	MapLinkGate	RouCos01	12658	13373	-49	0	Gate	GateRouCos013																		
	#recordin	LinkTable								GateRouCos013	EchoCave	EchoCave	2182	2703	-133	1												
	#recordin	ShineNPC	MapLinkGate	RouCos01	9520	19658	0	0	Gate	GateRouCos022																		
	#recordin	LinkTable								GateRouCos022	RouVal01	RouVal01	14571	4442	139	1												
;	파도숲																											
	#recordin	ShineNPC	MapLinkGate	RouCos02	17607	13887	76	0	Gate	GateRouCos021																		
	#recordin	LinkTable								GateRouCos021	RouN	RouN	6477	10435	-51	1												
;	#recordin	ShineNPC	MapLinkGate	RouCos02	16191	20334	74	0	Gate	GateRouCos022																		
;	#recordin	LinkTable								GateRouCos022	RouVal01	RouVal01	14571	4442	139	1												
	#recordin	ShineNPC	MapLinkGate	RouCos02	19953	9944	90	0	Gate	GateRouCos023																		
	#recordin	LinkTable								GateRouCos023	EchoCave	EchoCave	23343	23541	47	1												
	#recordin	ShineNPC	MapLinkGate	RouCos02	8300	10655	-72	0	Gate	GateRouCos024																		
	#recordin	LinkTable								GateRouCos024	RouCos01	RouCos01	16371	11133	-37	1												
;	메마른 안개숲																											
	#recordin	ShineNPC	MapLinkGate	RouVal01	14679	4327	-33	0	Gate	GateRouVal011																		
	#recordin	LinkTable								GateRouVal011	RouCos01	RouCos01	9522	19589	57	1												
;	#recordin	ShineNPC	MapLinkGate	RouVal01	14679	4327	-33	0	Gate	GateRouVal012																		
;	#recordin	LinkTable								GateRouVal012	RouCos02	RouCos02	15555	20332	67	1												
	#recordin	ShineNPC	MapLinkGate	RouVal01	15247	21011	25	0	Gate	GateRouVal013																		
	#recordin	LinkTable								GateRouVal013	Eld	Eld	18309	13407	89	1												
	#recordin	ShineNPC	MapLinkGate	RouVal01	12606	11850	0	0	Gate	GateRouVal014																		
	#recordin	LinkTable								GateRouVal014	RouTemDn01	RouTemDn01	6252	1156	-178	1												
	#recordin	ShineNPC	MapLinkGate	RouVal01	6293	3371	54	0	Gate	GateRouVal015																		
	#recordin	LinkTable								GateRouVal015	RouCos03	RouCos03	19815	7323	-178	1												
	#recordin	ShineNPC	T_Gate01	RouVal01	4370	8180	-134	0	IDGate	GateRouVal016																		
	#recordin	LinkTable								GateRouVal016	Tower01	Tower01	1182	7218	0	1												
;	탐욕의 해안																											
	#recordin	ShineNPC	MapLinkGate	RouCos03	13388	2070	-7	0	Gate	GateRouCos031																		
	#recordin	LinkTable								GateRouCos031	Eld	Eld	16609	9334	-179	1												
	#recordin	ShineNPC	MapLinkGate	RouCos03	16182	17461	48	0	Gate	GateRouCos032																		
	#recordin	LinkTable								GateRouCos032	RouVal02	RouVal02	2435	3359	-103	1												
	#recordin	ShineNPC	MapLinkGate	RouCos03	7494	15671	0	0	Gate	GateRouCos033																		
	#recordin	LinkTable								GateRouCos033	RouN	RouN	7222	4610	0	1												
	#recordin	ShineNPC	MapLinkGate	RouCos03	20640	3833	98	0	Gate	GateRouCos034																		
	#recordin	LinkTable								GateRouCos034	EchoCave	EchoCave	9240	21838	34	1												
	#recordin	ShineNPC	MapLinkGate	RouCos03	4301	5192	-59	0	Gate	GateRouCos035																		
	#recordin	LinkTable								GateRouCos035	EldGbl02	EldGbl02	1366	3195	0	1												
	#recordin	ShineNPC	MapLinkGate	RouCos03	19909	7325	-85	0	Gate	GateRouCos036																		
	#recordin	LinkTable								GateRouCos036	RouVal01	RouVal01	6366	3444	0	1												
	#recordin	ShineNPC	MapLinkGate	RouVal02	4914	9319	0	0	Gate	GateRouVal021																		
	#recordin	LinkTable								GateRouVal021	EldCem01	EldCem01	11478	11478	0	1												
	#recordin	ShineNPC	MapLinkGate	RouVal02	2195	3313	-114	0	Gate	GateRouVal022																		
	#recordin	LinkTable								GateRouVal022	RouCos03	RouCos03	15570	16925	49	1												
	#recordin	ShineNPC	MapLinkGate	RouVal02	2622	7938	98	0	Gate	GateRouVal023																		
	#recordin	LinkTable								GateRouVal023	ValDn01	ValDn01	1159	11349	-25	1												
	#recordin	ShineNPC	MapLinkGate	RouVal02	10724	4318	-82	0	Gate	GateRouVal024																		
	#recordin	LinkTable								GateRouVal024	EldGbl02	EldGbl02	6486	11164	0	1												
;	빛나는 돌 1층																											
	#recordin	ShineNPC	MapLinkGate	RouTemDn01	6260	732	179	0	Gate	GateRouTemDn011																		
	#recordin	LinkTable								GateRouTemDn011	RouVal01	RouVal01	12605	11495	0	1												
	#recordin	ShineNPC	MapLinkGate	RouTemDn01	8999	4936	0	0	Gate	GateRouTemDn012																		
	#recordin	LinkTable								GateRouTemDn012	RouTemDn02	RouTemDn02	5203	828	0	1												
;	#recordin	ShineNPC	EldSpeGuard03	RouTemDn01	5446	6642	0	0	Gate	GateRouTemDn013																		
;	#recordin	LinkTable								GateRouTemDn013	ElfDn02	ElfDn02	5230	3846	0	0												
;	#recordin	ShineNPC	EldSpeGuard03	RouTemDn01	1146	4319	0	0	Gate	GateRouTemDn014																		
;	#recordin	LinkTable								GateRouTemDn014	PriDn02	PriDn02	5154	5059	0	0												
;	빛나는 돌 2층																											
	#recordin	ShineNPC	MapLinkGate	RouTemDn02	5206	483	0	0	Gate	GateRouTemDn021																		
	#recordin	LinkTable								GateRouTemDn021	RouTemDn01	RouTemDn01	8961	5389	0	1												
;	#recordin	ShineNPC	EldSpeGuard03	RouTemDn02	5211	8555	180	0	Gate	GateRouTemDn022																		
;	#recordin	LinkTable								GateRouTemDn022	CemDn02	CemDn02	9791	6907	0	1												
;	엘더린 																											
	#recordin	ShineNPC	MapLinkGate	Eld	18525	13403	-89	0	Gate	GateEld1																		
	#recordin	LinkTable								GateEld1	RouVal01	RouVal01	15247	20843	0	1												
	#recordin	ShineNPC	MapLinkGate	Eld	13221	8958	0	0	Gate	GateEld2																		
	#recordin	LinkTable								GateEld2	EldPri01	EldPri01	1463	2561	-150	1												
	#recordin	ShineNPC	MapLinkGate	Eld	16606	8972	0	0	Gate	GateEld3																		
	#recordin	LinkTable								GateEld3	RouCos03	RouCos03	13361	2378	172	1												
	#recordin	ShineNPC	MapLinkGate	Eld	13547	16820	0	0	Gate	GateEld4																		
	#recordin	LinkTable								GateEld4	EldCem01	EldCem01	11468	1229	123	1												
	#recordin	ShineNPC	EldSpeGuard03	Eld	17684	11564	94	0	Gate	GateEld5																		
	#recordin	LinkTable								GateEld5	BFGate01	BFGate01	1589	301	0	1												
;	ox 퀴즈맵 게이트																											
	#recordin	ShineNPC	OX_GateSpeGuard	Eld	15935	11833	177	0	Gate	GateEld6																		
	#recordin	LinkTable								GateEld6	OX_field	OX_field	6467	4771	0	1												
;	달빛묘지																											
	#recordin	ShineNPC	MapLinkGate	EldCem01	11509	11829	12	0	Gate	GateEldCem011																		
	#recordin	LinkTable								GateEldCem011	RouVal02	RouVal02	4918	9043	0	1												
;	#recordin	ShineNPC	MapLinkGate	EldCem01	982	12298	-58	0	Gate	GateEldCem012																		
;	#recordin	LinkTable								GateEldCem012	EldCem02	EldCem02	1218	855	-128	1												
	#recordin	ShineNPC	MapLinkGate	EldCem01	11829	1135	-72	0	Gate	GateEldCem013																		
	#recordin	LinkTable								GateEldCem013	Eld	Eld	13560	16571	0	1												
	#recordin	ShineNPC	MapLinkGate	EldCem01	862	8528	-20	0	Gate	GateEldCem014																		
	#recordin	LinkTable								GateEldCem014	WindyCave	WindyCave	2182	2703	-133	1												
	#recordin	ShineNPC	MapLinkGate	EldCem01	2557	2430	-38	0	Gate	GateEldCem015																		
	#recordin	LinkTable								GateEldCem015	CemDn01	CemDn01	8029	1765	33	1												
	#recordin	ShineNPC	MapLinkGate	EldCem01	4019	668	0	0	Gate	GateEldCem016																		
	#recordin	LinkTable								GateEldCem016	EldGbl02	EldGbl02	10461	3429	0	1												
	#recordin	ShineNPC	MapLinkGate	EldCem01	982	12298	-58	0	Gate	GateEldCem017																		
	#recordin	LinkTable								GateEldCem017	Linkfield01	Linkfield01	3823	3087	0	1												
;	덩굴무덤																											
	#recordin	ShineNPC	MapLinkGate	EldCem02	11896	12189	0	0	Gate	GateEldCem021																		
	#recordin	LinkTable								GateEldCem021	EldGbl01	EldGbl01	6580	7467	41	1												
;	#recordin	ShineNPC	MapLinkGate	EldCem02	958	674	57	0	Gate	GateEldCem022																		
;	#recordin	LinkTable								GateEldCem022	EldCem01	EldCem01	1249	12145	-67	1												
;	#recordin	ShineNPC	MapLinkGate	EldCem02	4474	11896	0	0	Gate	GateEldCem023																		
;	#recordin	LinkTable								GateEldCem023	CemDn02	CemDn02	5678	15617	0	1												
	#recordin	ShineNPC	MapLinkGate	EldCem02	958	674	57	0	Gate	GateEldCem024																		
	#recordin	LinkTable								GateEldCem024	Linkfield01	Linkfield01	9817	10895	0	1												
;	고블린 캠프																											
	#recordin	ShineNPC	MapLinkGate	EldGbl01	6015	7004	51	0	Gate	GateEldGbl011																		
	#recordin	LinkTable								GateEldGbl011	EldPri01	EldPri01	2575	1686	152	1												
	#recordin	ShineNPC	MapLinkGate	EldGbl01	6752	7642	56	0	Gate	GateEldGbl012																		
	#recordin	LinkTable								GateEldGbl012	EldCem02	EldCem02	11984	11883	0	1												
	#recordin	ShineNPC	MapLinkGate	EldGbl01	11514	5792	84	0	Gate	GateEldGbl013																		
	#recordin	LinkTable								GateEldGbl013	WindyCave	WindyCave	23343	23541	47	1												
	#recordin	ShineNPC	MapLinkGate	EldGbl01	684	6867	86	0	Gate	GateEldGbl014																		
	#recordin	LinkTable								GateEldGbl014	GblDn01	GblDn01	5091	548	0	1												
;	#recordin	ShineNPC	MapLinkGate	EldGbl01	4334	1092	-140	0	Gate	GateEldGbl015																		
;	#recordin	LinkTable								GateEldGbl015	GblDn02	GblDn02	5081	6146	0	1												
;	붕괴된 감옥 터																											
	#recordin	ShineNPC	MapLinkGate	EldPri01	1280	2198	24	0	Gate	EldPri011																		
	#recordin	LinkTable								EldPri011	Eld	Eld	13221	9175	178	1												
	#recordin	ShineNPC	MapLinkGate	EldPri01	9428	10076	46	0	Gate	EldPri012																		
	#recordin	LinkTable								EldPri012	EldPriDn01	EldPriDn01	3127	8715	0	1												
	#recordin	ShineNPC	MapLinkGate	EldPri01	2662	1415	-23	0	Gate	EldPri013																		
	#recordin	LinkTable								EldPri013	EldGbl01	EldGbl01	6157	7131	-131	1												
;	#recordin	ShineNPC	MapLinkGate	EldPri01	1078	11129	-10	0	Gate	EldPri014																		
;	#recordin	LinkTable								EldPri014	Urg	Urg	1807	11270	-57	1												
	#recordin	ShineNPC	MapLinkGate	EldPri01	5504	1259	93	0	Gate	EldPri015																		
	#recordin	LinkTable								EldPri015	PriDn01	PriDn01	12208	4514	-90	1												
	#recordin	ShineNPC	MapLinkGate	EldPri01	480	2800	-10	0	Gate	EldPri016																		
	#recordin	LinkTable								EldPri016	EldPri02	EldPri02	1663	3602	-57	1												
	#recordin	ShineNPC	MapLinkGate	EldPri01	1078	11129	-10	0	Gate	EldPri017																		
	#recordin	LinkTable								EldPri017	Linkfield02	Linkfield02	2763	6479	0	1												
;	숨겨진 감옥 1층																											
	#recordin	ShineNPC	MapLinkGate	EldPriDn01	3124	9042	-2	0	Gate	GateEldPriDn011																		
	#recordin	LinkTable								GateEldPriDn011	EldPri01	EldPri01	9935	10604	-134	1												
	#recordin	ShineNPC	MapLinkGate	EldPriDn01	12540	8038	0	0	Gate	GateEldPriDn012																		
	#recordin	LinkTable								GateEldPriDn012	EldPriDn02	EldPriDn02	370	5055	87	1												
;	숨겨진 감옥2층																											
	#recordin	ShineNPC	MapLinkGate	EldPriDn02	206	5062	92	0	Gate	GateEldPriDn021																		
	#recordin	LinkTable								GateEldPriDn021	EldPriDn01	EldPriDn01	12535	7808	0	1												
;	#recordin	ShineNPC	MapLinkGate	EldPriDn02				0	Gate	GateEldPriDn022																		
;	#recordin	LinkTable								GateEldPriDn022	고대엘프숲	고대엘프숲				1												
;	화염광산																											
	#recordin	ShineNPC	MapLinkGate	UrgFireDn01	2447	11386	-84	0	Gate	UrgFireDn001																		
	#recordin	LinkTable								UrgFireDn001	UrgFire01	UrgFire01	2253	3215	-134	1												
;	영혼의 신전																											
;	#recordin	ShineNPC	MapLinkGate	UrgSwaDn01	5666	6808	0	0	Gate	UrgFireDn001																		
;	#recordin	LinkTable								UrgFireDn001	EldPri01	EldPri01	9935	10604	-134	1												
;	우루가 																											
;	#recordin	ShineNPC	MapLinkGate	Urg	1603	11498	-49	0	Gate	Urg01																		
;	#recordin	LinkTable								Urg01	EldPri01	EldPri01	1133	10955	-13	1												
	#recordin	ShineNPC	MapLinkGate	Urg	1175	2343	-129	0	Gate	Urg02																		
	#recordin	LinkTable								Urg02	GoldCave	GoldCave	2182	2703	-133	1												
	#recordin	ShineNPC	MapLinkGate	Urg	11591	2686	-66	0	Gate	Urg03																		
	#recordin	LinkTable								Urg03	EldFor01	EldFor01	7448	19822	-19	1												
	#recordin	ShineNPC	MapLinkGate	Urg	10709	12119	-33	0	Gate	Urg04																		
	#recordin	LinkTable								Urg04	ElfDn01	ElfDn01	2660	6901	-89	1												
	#recordin	ShineNPC	MapLinkGate	Urg	1528	9368	-49	0	Gate	Urg05																		
	#recordin	LinkTable								Urg05	EldPri02	EldPri02	9942	2893	-13	1												
	#recordin	ShineNPC	EldSpeGuard03	Urg	8450	6765	78	0	Gate	Urg06																		
	#recordin	LinkTable								Urg06	BFGate02	BFGate02	1589	301	0	1												
	#recordin	ShineNPC	MapLinkGate	Urg	1603	11498	-49	0	Gate	Urg07																		
	#recordin	LinkTable								Urg07	Linkfield02	Linkfield02	2400	9241	0	1												
	#recordin	ShineNPC	MapLinkGate	Urg	2004	4962	-90	0	Gate	Urg09																		
	#recordin	LinkTable								Urg09	EldSleep01	EldSleep01	11620	17868	48	1												
;	#recordin	ShineNPC	MapLinkGate	Urg	7861	11135	-60	0	Gate	Urg10																		
;	#recordin	LinkTable								Urg10	UrgFire01	UrgFire01	15373	1851	48	1												
;	크리스탈 성																											
	#recordin	ShineNPC	C_Gate01	Urg	9705	758	225	0	IDGate	Urg12																		
	#recordin	LinkTable								Urg12	Tower02	Tower02	1182	7218	0	1												
;	엘프 숲																											
	#recordin	ShineNPC	MapLinkGate	EldFor01	7376	20092	-15	0	Gate	EldFor011																		
	#recordin	LinkTable								EldFor011	Urg	Urg	11355	2770	-67	1												
	#recordin	ShineNPC	MapLinkGate	EldFor01	16051	16585	21	0	Gate	EldFor012																		
	#recordin	LinkTable								EldFor012	EldSleep01	EldSleep01	8590	8806	52	1												
	#recordin	ShineNPC	MapLinkGate	EldFor01	19331	8608	-130	0	Gate	EldFor013																		
	#recordin	LinkTable								EldFor013	ForDn01	ForDn01	5825	6128	-90	1												
;	#recordin	ShineNPC	MapLinkGate	EldFor01	19262	8558	45	0	Gate	EldFor012																		
;	#recordin	LinkTable								EldFor012	서광의 늪	서광의 늪				1												
	#recordin	ShineNPC	MapLinkGate	EldFor01	7277	6650	0	0	Gate	EldFor015																		
	#recordin	LinkTable								EldFor015	UrgFire01	UrgFire01	10908	23620	0	1												
;	잠자는 숲																											
	#recordin	ShineNPC	MapLinkGate	EldSleep01	8323	8704	54	0	Gate	EldSleep011																		
	#recordin	LinkTable								EldSleep011	EldFor01	EldFor01	16035	16333	0	1												
	#recordin	ShineNPC	MapLinkGate	EldSleep01	17437	7144	94	0	Gate	EldSleep012																		
	#recordin	LinkTable								EldSleep012	UrgFire01	UrgFire01	2411	24635	0	1												
	#recordin	ShineNPC	MapLinkGate	EldSleep01	7226	11631	22	0	Gate	EldSleep013																		
	#recordin	LinkTable								EldSleep013	R_Helga01	R_Helga01	3279	1201	0	1												
	#recordin	ShineNPC	MapLinkGate	EldSleep01	11670	17918	-134	0	Gate	EldSleep014																		
	#recordin	LinkTable								EldSleep014	Urg	Urg	2054	4962	0	1												
;	채집동굴																											
	#recordin	ShineNPC	MapLinkGate	EchoCave	1997	2501	-136	0	Gate	EchoCave1																		
	#recordin	LinkTable								EchoCave1	RouCos01	RouCos01	12707	13200	-63	1												
	#recordin	ShineNPC	MapLinkGate	EchoCave	23605	23768	49	0	Gate	EchoCave2																		
	#recordin	LinkTable								EchoCave2	RouCos02	RouCos02	20404	9873	48	1												
	#recordin	ShineNPC	MapLinkGate	EchoCave	9435	22125	41	0	Gate	EchoCave3																		
	#recordin	LinkTable								EchoCave3	RouCos03	RouCos03	20422	3877	101	1												
;	채집동굴2																											
	#recordin	ShineNPC	MapLinkGate	WindyCave	1997	2501	-136	0	Gate	WindyCave1																		
	#recordin	LinkTable								WindyCave1	EldCem01	EldCem01	753	8310	-63	1												
	#recordin	ShineNPC	MapLinkGate	WindyCave	23605	23768	49	0	Gate	WindyCave2																		
	#recordin	LinkTable								WindyCave2	EldGbl01	EldGbl01	11382	5758	83	1												
;	채집동굴3																											
	#recordin	ShineNPC	MapLinkGate	GoldCave	1997	2501	-136	0	Gate	GoldCave1																		
	#recordin	LinkTable								GoldCave1	Urg	Urg	1255	2371	-114	1												
;	#recordin	ShineNPC	MapLinkGate	GoldCave	23605	23768	49	0	Gate	GoldCave2																		
;	#recordin	LinkTable								GoldCave2	EldGbl01	EldGbl01	11382	5758	83	1												
;	숨겨진 봉우리																											
	#recordin	ShineNPC	MapLinkGate	GblDn01	5086	458	0	0	Gate	GblDn011																		
	#recordin	LinkTable								GblDn011	EldGbl01	EldGbl01	895	6882	82	1												
;	망자의 무덤																											
	#recordin	ShineNPC	MapLinkGate	CemDn01	7892	1520	33	0	Gate	CemDn011																		
	#recordin	LinkTable								CemDn011	EldCem01	EldCem01	2408	2623	-41	1												
;	#recordin	ShineNPC	MapLinkGate	GblDn01					Gate	CemDn012																		
;	#recordin	LinkTable								CemDn012	숨겨진 봉우리 2층	숨겨진 봉우리 2층																
;	시련의 땅 																											
	#recordin	ShineNPC	MapLinkGate	ElfDn01	2481	6894	90	0	Gate	ElfDn011																		
	#recordin	LinkTable								ElfDn011	Urg	Urg	10842	11948	-33	1												
;	#recordin	ShineNPC	MapLinkGate	ElfDn01					Gate	ElfDn013																		
;	#recordin	LinkTable								ElfDn013	숨겨진 봉우리 2층	숨겨진 봉우리 2층				1												
;	말론클랜 소굴																											
	#recordin	ShineNPC	MapLinkGate	ValDn01	1038	11590	-17	0	Gate	ValDn011																		
	#recordin	LinkTable								ValDn011	RouVal02	RouVal02	2440	7947	68	1												
;	#recordin	ShineNPC	MapLinkGate	ValDn01					Gate	ValDn012																		
;	#recordin	LinkTable								ValDn012	숨겨진 봉우리 2층	숨겨진 봉우리 2층				1												
;	어둠의 굴레																											
	#recordin	ShineNPC	MapLinkGate	PriDn01	12384	4508	-90	0	Gate	PriDn001																		
	#recordin	LinkTable								PriDn001	EldPri01	EldPri01	5654	1253	-87	1												
;	#recordin	ShineNPC	MapLinkGate	PriDn01					Gate	PriDn002																		
;	#recordin	LinkTable								PriDn002	숨겨진 봉우리 2층	숨겨진 봉우리 2층				1												
;	트럼피의 유적																											
	#recordin	ShineNPC	MapLinkGate	ForDn01	5960	6127	90	0	Gate	ForDn001																		
	#recordin	LinkTable								ForDn001	EldFor01	EldFor01	19223	8503	46	1												
;	#recordin	ShineNPC	MapLinkGate	PriDn01					Gate	ForDn002																		
;	#recordin	LinkTable								ForDn002	숨겨진 봉우리 2층	숨겨진 봉우리 2층				1												
;																												
;	가디언의 성지																											
	#recordin	ShineNPC	MapLinkGate	FireDn01	6358	6854	0	0	Gate	FireDn001																		
	#recordin	LinkTable								FireDn001	UrgFire01	UrgFire01	23716	8574	158	1												
;	눈물의 늪																											
	#recordin	ShineNPC	MapLinkGate	SwaDn01	6068	11314	0	0	Gate	SwaDn011																		
	#recordin	LinkTable								SwaDn011	UrgSwa01	UrgSwa01	9177	12881	0	1												
;	심연의 봉우리																											
	#recordin	ShineNPC	LevelGuard40	GblDn02	5083	6038	-179	0	Gate	EldGbl001																		
	#recordin	LinkTable								EldGbl001	BFGate01	BFGate01	1272	2114	0	1												
;	심연의 땅																											
	#recordin	ShineNPC	LevelGuard60	ElfDn02	5230	3846	0	0	Gate	ElfDn021																		
	#recordin	LinkTable								ElfDn021	BFGate02	BFGate02	1650	1630	133	1												
;	심연의 굴레																											
	#recordin	ShineNPC	LevelGuard50	PriDn02	5243	5059	90	0	Gate	PriDn021																		
	#recordin	LinkTable								PriDn021	BFGate01	BFGate01	1002	1817	0	1												
;	불타는 돌																											
	#recordin	ShineNPC	MapLinkGate	UrgFire01	2030	24767	-76	0	Gate	UrgFire011																		
	#recordin	LinkTable								UrgFire011	EldSleep01	EldSleep01	17152	7152	0	1												
	#recordin	ShineNPC	MapLinkGate	UrgFire01	23800	8367	-13	0	Gate	UrgFire012																		
	#recordin	LinkTable								UrgFire012	FireDn01	FireDn01	6372	6659	176	1												
	#recordin	ShineNPC	MapLinkGate	UrgFire01	2138	3161	54	0	Gate	UrgFire013																		
	#recordin	LinkTable								UrgFire013	UrgFireDn01	UrgFireDn01	2625	11402	0	1												
	#recordin	ShineNPC	MapLinkGate	UrgFire01	18683	24578	45	0	Gate	UrgFire014																		
	#recordin	LinkTable								UrgFire014	UrgSwa01	UrgSwa01	5733	4075	0	1												
;	#recordin	ShineNPC	MapLinkGate	UrgFire01	15323	1802	22	0	Gate	UrgFire015																		
;	#recordin	LinkTable								UrgFire015	Urg	Urg	7911	11085	0	1												
	#recordin	ShineNPC	MapLinkGate	UrgFire01	10958	23670	19	0	Gate	UrgFire016																		
	#recordin	LinkTable								UrgFire016	EldFor01	EldFor01	7277	6700	0	1												
;	인던-용의무덤( 불타는 돌에서 연결되는 게이트 )																											
	#recordin	ShineNPC	IDMapLinkGate01	UrgFire01	22281	22973	81	0	ModeIDGate	UrgFire017																		
	#recordin	LinkTable								UrgFire017	UrgDragon	UrgDragon	1040	5882	0	1												
;	메마른 안개숲 임시 상인																											
	#recordin	ShineNPC	EldArcGuard03	RouVal01	13429	7839	0	1	Merchant	Item																		
	#recordin	ShineNPC	TempSoul	RouVal01	13055	7862	0	1	Merchant	SoulStone																		
	#recordin	ShineNPC	TempSkill	RouVal01	12776	7862	0	1	Merchant	Skill																		
;	매마른 안개숲 마을이동 NPC																											
