;	몹의 잡담							
#Ignore	\o042		; 인용부호 무시					
#RecordIn	DEAD	Spider	10	0	My friends will avenge me.	I didn't get a chance to use my web...	How did I lose today? This can't be!	I felt forboding...
#RecordIn	HELPMAIN	Spider	800	800	-	-	-	-
#RecordIn	HELPSUB	Spider	800	800	Who dares to touch the Wild Fox?	I'm always ready to help you.	"Hang on, help is on the way!"	"Whoever you are, your luck has run out."
#RecordIn	RACERESCUE	Spider	800	800	-	-	-	-
#RecordIn	PIECE	ScareImp	4600000	6600000	-	-	-	-
#RecordIn	ATTACK	ScareImp	10	0	-	-	-	-
#RecordIn	DAMAGED	ScareImp	10	0	-	-	-	-
#RecordIn	DEAD	ScareImp	10	0	-	-	-	-
#RecordIn	PIECE	FlyingStaff	4600000	6600000	Friendship and faith is important for all relationships!	No matter how much time passes...one human I will never forget.	I shine like the sun.	"Why are moths drawn to fire, even though they know they will die?"
#RecordIn	ATTACK	FlyingStaff	10	0	I would have preferred to be friends!	Aren't I great?	One hit and you will be dead.. You will see!	Lots of people die at my hands... like moths to the flame!
#RecordIn	DAMAGED	FlyingStaff	10	0	"You'd better try harder, or else!"	You are similar to someone I knew long ago.	"What... this can't be, not with my skills!"	"You are good, really good."
#RecordIn	DEAD	FlyingStaff	10	0	I can handle this. Good luck to you!	It was nice meeting you...truly...	I don't want to die! Help!	I have no regrets about dying like this...
#RecordIn	PIECE	MasicStaff	4600000	6600000	How long will I have to wait...	It's exciting to meet so many new people ...	Any way I could be a human's friend? Sometimes I am lonely.	-
#RecordIn	ATTACK	MasicStaff	10	0	Let the judgment begin!	How tough would you say I am?	Let's see just how strong I am.	-
#RecordIn	DAMAGED	MasicStaff	10	0	Is that all you can do?	Ugh ~ You've hurt me... 	Ha! This is a waste of both of our time!	-
#RecordIn	DEAD	MasicStaff	10	0	"You are quite good, but still missing something."	What a meaningless death...	You are stronger then me.. Stop.. It hurts!	-
#RecordIn	PIECE	KingStaff	4600000	6600000	The air is too stuffy! I need fresh air! I need to walk!	It's lonely at the top.	There are many who would like the power of a King!	"If someone wants to fight, step up!"
#RecordIn	ATTACK	KingStaff	10	0	You shouldn't be here.	Insignificant wretch!	Are you one of them?	You don't belong here.
#RecordIn	DAMAGED	KingStaff	10	0	"You do know who I am, right? How rude!"	I won't forgive you for these scars...	I think you have the strength to become a King someday!	I will not beg for my life if this is to be my last chapter.
#RecordIn	DEAD	KingStaff	10	0	I'll get you someday!	Aaaacckk!	Aaaahhhhhh!	"I've fought death for so long, it's hard to accept..."
#RecordIn	PIECE	Zombie	4600000	6600000	Muhahahha~	I thought I was dead. How can I be walking around like this?	*panting* Awww...hungry...I need something to eat...	Damn the Templers. They made me like this on a whim.
#RecordIn	ATTACK	Zombie	10	0	Who are you? Did you attack me?	Who are you? 	I need blood! Give me your blood!	I'll make you a zombie too.
#RecordIn	DAMAGED	Zombie	10	0	I will not forget what you've done here today.	I no longer feel pain... 	This doen't look good! Help!	If you don't expect to die..you should look happier.
#RecordIn	DEAD	Zombie	10	0	"I need blood..., bloood..."	Time to sleep once more.	What is this strange feeling?	I'll return to the ground once more.
#RecordIn	HELPMAIN	Zombie	800	800	-	-	-	-
#RecordIn	HELPSUB	Zombie	800	800	I'll drink your blood!	Hahaha... do you need assistance?	I'm coming to help you... Hold on...	My help will make the difference.
#RecordIn	RACERESCUE	Zombie	800	800	-	-	-	-
#RecordIn	PIECE	OldFox	4800000	6800000	I see dead people.	"When they are close to me, it is  cold and I can see my breath."	People who don't know where they're headed usually get lost!	Don't you just love the sight of a full moon in a clear sky?
#RecordIn	ATTACK	OldFox	10	0	Listen to yourself. Utter nonsense!	It's impossible to control one's nature.	Come here...I will eat you alive!	You have no choice. Behold the moon in its glory!
#RecordIn	DAMAGED	OldFox	10	0	Hit me! I dare you!	Do you have the courage to face who you are?	"You're not a pushover, but you're still no match for me!"	The strong ones have the tastiest livers.
#RecordIn	DEAD	OldFox	10	0	Time for a quick nap.	This is unfair...but victory is yours.	Watch your back--he hits hard!	The full moon will rise again...soon...
#RecordIn	HELPMAIN	OldFox	800	800	I shouldn't have underestimated you.	Friend! Help me!	I can't do this alone...someone please help!	Please...help me for a moment.
#RecordIn	HELPSUB	OldFox	800	800	-	-	-	-
#RecordIn	RACERESCUE	OldFox	800	800	-	-	-	-
#RecordIn	PIECE	CemWolf	4800000	6800000	There's something in the cave that compels you to dig.	-	-	-
#RecordIn	ATTACK	CemWolf	10	0	-	-	-	-
#RecordIn	DAMAGED	CemWolf	10	0	-	-	-	-
#RecordIn	DEAD	CemWolf	10	0	-	-	-	-
#RecordIn	PIECE	Fox	4800000	6800000	I want fresh meat! Let's go kill something weak.	There's not much to hunt today.	I'm lucky to have a friend who thinks like me.	Don't confuse me with the fox in the tomb. We're very different!
#RecordIn	ATTACK	Fox	10	0	"The more I see you, the more hungry I get..."	"I'm surprised, you're tougher than you look."	"You see, my friend, I never fail to catch my prey."	I can say for sure that I'm superior in every way!
#RecordIn	DAMAGED	Fox	10	0	I can't believe you beat me. How is this possible?	It's like shooting fish in a barrel!	"You hit pretty hard, but it doesn't hurt me!"	Whoever was your master? He taught you well.
#RecordIn	DEAD	Fox	10	0	I won't let this be my end!	You'd better think twice... another fox will come...oh...maybe not.	I can't believe I'm going to die like this!	I was not sly enough.
#RecordIn	PIECE	BabyWereBear	4800000	6800000	My father is the strongest Werebear on the continent of Isya.	"When I grow up, I want to be a Werebear like my Dad!"	Daddy bear is  fat--Mommy bear is  skinny--Baby bear is cute!	-
#RecordIn	ATTACK	BabyWereBear	10	0	Don't look at me that way!	Don't worry...it's OK to express pain.	Aren't I cute?	-
#RecordIn	DAMAGED	BabyWereBear	10	0	"Ouch, it hurts! I can't stand this kind of pain!"	"You are strong, but you're no match for my Dad."	"It usually doesn't hurt like this, who trained you? "	-
#RecordIn	DEAD	BabyWereBear	10	0	"Father, where are you?"	I'm struggling to understand...	Aaaah! I can't avenge mom or dad!	-
#RecordIn	PIECE	FireViVi	4800000	6800000	"Come on, just tell me... are you hungry?"	I scorch the land and cook my enemies.	"Burning, I am burning!"	"Fire is a gift, but it comes with a price."
#RecordIn	ATTACK	FireViVi	10	0	Take that! And that!	Can you feel the heat? Am I getting to you?	My fire will consume you!	I'm in the mood to roast some meat. Come here!
#RecordIn	DAMAGED	FireViVi	10	0	I won't let you extinguish my fire!	Hehehe... my fire is hotter than the flames of hell...	"Soon, you will be completely consumed by fire!"	Who gave you that fire extinguisher?
#RecordIn	DEAD	FireViVi	10	0	"Oh no, my fire is dwindling!"	I curse you!	No~!  My flame is vanishing!	"If my flame is extinguished, I will surely perish!"
#RecordIn	PIECE	Ghost	5000000	7000000	Can anyone see me?	Humans don't know the evil truth.	Can you see me?	The living world is just a small part of reality.
#RecordIn	ATTACK	Ghost	10	0	I will show you hell itself!	Ha! Your confusion is amusing.	"Avoid this, if you can!"	You can't win. You can barely see me.
#RecordIn	DAMAGED	Ghost	10	0	Your attack won't even scratch me!	What happened? 	Ahhh... this is painful! 	But...I'm invisible. Aren't I?
#RecordIn	DEAD	Ghost	10	0	I will lurk in the shadows and wait for my chance.	Oh no...oh no...I am g..one...	"In the end, we all pay for our mistakes."	I'm drifting...
#RecordIn	PIECE	Robo	5000000	7000000	"Ah, more of the same..."	Damn it all!	Why am I always alone?	I will terrorize all humankind!
#RecordIn	ATTACK	Robo	10	0	Feel my pain!	Do you feel pain...? This is nothing...	Take this cursed power!	"If you rid me of this curse, I'll make you great among your kind!"
#RecordIn	DAMAGED	Robo	10	0	Try me! I dare you!	Pathetic...	Hahaha...is that all?	You are not easy to defeat!
#RecordIn	DEAD	Robo	10	0	"It may be my time to go, but you're next!"	This isn't over...	Can you see the burn..ing hou..se?  Could that be...	It's hard to admit that I lost.
#RecordIn	PIECE	Hob	5200000	7200000	Ok! Let's go!	Ok...ok...Hahahaha...	Don't take it...you don't have rights!	Am I handsome or what? See.. Now I'm blushing!
#RecordIn	ATTACK	Hob	10	0	One.. Two.. Three.. Boom!	"What do you think...not bad, huh? There's more..."	Come on! One on one! I bet you will lose!	"Please, just not in the face."
#RecordIn	DAMAGED	Hob	10	0	"Please boss, this really hurts, stop!"	What are you doing? It hurts!	Stop that! 	I think the best thing I can do at this point is run!
#RecordIn	DEAD	Hob	10	0	"Ouch... hey, ouch! Wow!"	My short life comes to an end here...	Aaaacckk!!	You win!
#RecordIn	PIECE	BoneImp	5200000	7200000	Come... see through these eyes! Feel my pain!	All these foolhardy idiots...rampaging around.	I get ten times stronger in the dark!	You can tell from my name that I'm beautiful.
#RecordIn	ATTACK	BoneImp	10	0	"Oh, so it's playtime?"	"Am I weak, or are you just strong?"	There's nothing more fun than playing with humans.	"One, two, three. I'm counting how many times you hit me."
#RecordIn	DAMAGED	BoneImp	10	0	I've got tough skin. Your attacks won't hurt me.	"Easy, easy... you'll give me scars!"	You're not skilled enough yet...	I think I've seen you before. Are you stalking me?
#RecordIn	DEAD	BoneImp	10	0	"I will miss this place, with its ocean breeze and green trees."	No! You murderer.  Wait a minute...I'm not a human...	I knew there was someone stronger than me.	I'm useless with this broken armor!
#RecordIn	PIECE	earthSpider	4600000	6600000	"One, two, three, four... I have way too many legs!"	"I've built my house with blood, sweat and tears...don't damage it."	"You know, I have a critical weakpoint."	"Do  you know the phrase ""United we stand, divided we fall""?"
#RecordIn	ATTACK	earthSpider	10	0	"See, that hurts? So, why did you attack me?"	I will guarantee that today will be the worst day of your life.	What makes you think I'm going to tell you what my weakpoint is?	Killing you alone isn't much of a challenge.
#RecordIn	DAMAGED	earthSpider	10	0	"You are dangerous, I can tell!"	You challenged me with this? You're really brave...	I think you have found my weak point...how?	"You should go and get more friends, you're too weak alone."
#RecordIn	DEAD	earthSpider	10	0	Today wasn't my lucky day...	I can't admit defeat!	Avenge me!	Help! Please...
#RecordIn	PIECE	Goblin	5200000	7200000	For the honor of the Goblins!	I will do anything for the King! His wish is my command.	To the village! Time to kill humans!	All cheer the Goblin King!
#RecordIn	ATTACK	Goblin	10	0	You dare to invade our land? How dare you!	I will take you prisoner.	The Goblin Kingdom is under attack! To arms!	"Goblins, attack! Get the invaders!"
#RecordIn	DAMAGED	Goblin	10	0	Yikes~!	Aaaacckk!  I need back up!	How dare you attack the Goblin Kingdom?	"Your hits are useless, they have no effect on me!"
#RecordIn	DEAD	Goblin	10	0	Long live our Goblin Kingdom!	What did I drink last night? 	A brave Goblin...dies fighting!	"Friends, take my place."
#RecordIn	HELPMAIN	Goblin	800	800	-	-	-	-
#RecordIn	HELPSUB	Goblin	800	800	"Hang on, I'm on my way! Whoa~"	"You should have practiced, now you need help!"	I'm here my master!	Now it's my turn! Let's see what you've got.
#RecordIn	RACERESCUE	Goblin	800	800	-	-	-	-
#RecordIn	PIECE	Prock	5200000	7200000	This garden is the only thing that makes me happy.	Goblins and Werebears are rude!	I heard there's some kind of plant that can cure that illness... hmm...	"Do you know nepenthez? I've heard of it, but not sure what it is."
#RecordIn	ATTACK	Prock	10	0	You're the one who ruined my garden. Now you shall pay!	Prepare for battle!	Did my mouth catch you by surprise?	"I'm able to chew through stone, you will be soft by comparison."
#RecordIn	DAMAGED	Prock	10	0	Don't think you will leave this place alive!	I will eat you...I will eat all of you. 	You are just one bite away from dying!	Hey stop hitting me...you should look after plants!
#RecordIn	DEAD	Prock	10	0	My..gar...den..!	I didn't prepare any last words...	You saw my ugly side...	The only thing I gained...was failure.
#RecordIn	PIECE	GoblinSwordman	5400000	7400000	I am a Goblin Swordman! Fear me!	My King! Your wish is my command.	No one knows the secret of our swordsmanship!	All hail the Goblin King!
#RecordIn	ATTACK	GoblinSwordman	10	0	Did you hear that? The sound of a cold wind!	What do you think of my swordsmanship?	"Hah, you will be the tribe's sacrifice!"	Where did you come from? How dare you step into our domain?
#RecordIn	DAMAGED	GoblinSwordman	10	0	"Wow, your power is stronger than mine! How can this be?"	I'm intimidated by your level of skill.	How did you find the courage to attack us?	Did you really think you can survive all alone?
#RecordIn	DEAD	GoblinSwordman	10	0	Your powers are impressive.	I...invaders!	Long live the Goblin Kingdom!	My brethren will avenge me!
#RecordIn	HELPMAIN	GoblinSwordman	800	800	"You're strong, but I will win!"	I need help...too strong for me.	Someone please help! Help!	Hurry! I need help!
#RecordIn	HELPSUB	GoblinSwordman	800	800	-	-	-	-
#RecordIn	RACERESCUE	GoblinSwordman	800	800	-	-	-	-
#RecordIn	PIECE	WereBear	5400000	7400000	I can't control the urge within!	I need to find some blood... blood...	It's been so long since I've seen my son... I'd love to see him.	You dummy. Who told you that bears were cute?
#RecordIn	ATTACK	WereBear	10	0	You will regret the full moon! Die!	I can crush stone with my paws.	You would make a perfect meal for my son!	We are the most savage creatures alive.
#RecordIn	DAMAGED	WereBear	10	0	Your strength...makes me hesitate.	I doubt you can harm a hair on my head.	"Try harder.  You are not even scratching me, you weakling!"	Ugh... I didn't think there was anyone who could hurt me.
#RecordIn	DEAD	WereBear	10	0	Will I finally be rid of this curse?	It's been a long time since I've felt such peace...	I can't believe I was slain by someone like you!	I don't want to die...
#RecordIn	PIECE	GoblinMage	5600000	7600000	I sense that today will bring misfortune.	"Yes, King. Your wish is my command."	Hmm... something's wrong here. I should call the captain over.	There have been many adventurers attacking us. Why?
#RecordIn	ATTACK	GoblinMage	10	0	I call on my powers to attack our enemies!	"God of Death, I call on you! Deal our foes a mighty blow!"	"Dark forces, cast evil curses on our enemies!"	See how the God of death enjoys your anger.
#RecordIn	DAMAGED	GoblinMage	10	0	I must focus my powers for protection!	How did you break through my defensive wall...	"Dark forces, infuse me with your power!"	Dark forces are working to weaken me.
#RecordIn	DEAD	GoblinMage	10	0	"Ancestors, revive me!"	Damn you...someone inform the king!	My king... I have failed you...	Our camp is in danger!
#RecordIn	HELPMAIN	GoblinMage	800	800	-	-	-	-
#RecordIn	HELPSUB	GoblinMage	800	800	-	-	-	-
#RecordIn	RACERESCUE	GoblinMage	800	800	-	-	-	-
#RecordIn	PIECE	SandMushroom	5600000	7600000	-	My full name is Sand Mushroom Swordman..	-	-
#RecordIn	ATTACK	SandMushroom	10	0	-	-	-	-
#RecordIn	DAMAGED	SandMushroom	10	0	-	-	-	-
#RecordIn	DEAD	SandMushroom	10	0	-	-	-	-
#RecordIn	PIECE	GoblinCaptain	5600000	7600000	I bring orders from the King. Every goblin must listen!	"Yes King, your wish is my command."	I wonder what's making my blood run cold.	I can't imagine the King daydreaming like this...
#RecordIn	ATTACK	GoblinCaptain	10	0	Taste my sword! Hahaha...	You are brave to attack Goblin Kingdom!  You won't leave alive!	I will chop you in two. Wait and see!	You are already dead.
#RecordIn	DAMAGED	GoblinCaptain	10	0	That's it?	This certainly can't be my demise ..	The Goblin Kingdom is forever!	"Unless you kill me, you'll go no further."
#RecordIn	DEAD	GoblinCaptain	10	0	This is a bad sign.	You are a great swordsman... I admit defeat...	Oh... my plan... was foiled.	My...King...
#RecordIn	HELPMAIN	GoblinCaptain	800	800	So embarrassing to be beaten by this weakling...	It's been a while since I've faced someone like you...I need help.	All Goblin soldiers should fight...To arms!	-
#RecordIn	HELPSUB	GoblinCaptain	800	800	-	-	-	-
#RecordIn	RACERESCUE	GoblinCaptain	800	800	-	-	-	-
#RecordIn	PIECE	GobleKing	5800000	7800000	The dark force will always be with us Goblins!	Long live the Goblins!	The Goblin Kingdom is forever!	Gwahahaha~ We will conquer the filthy humans!
#RecordIn	ATTACK	GobleKing	10	0	It's hard to believe you have come this far!	I'll let no one interrupt my plans!	I'm the King. Feel my wrath!	"If you defeat me with one blow, you will earn quite a reputation!"
#RecordIn	DAMAGED	GobleKing	10	0	"You're good, but I'm only getting started!"	Even with a large party...you've a long way to go to kill me. 	Is this all you have? You are one sorry excuse for a human!	"You are good, but not good enough."
#RecordIn	DEAD	GobleKing	10	0	Oh no...this can't be...No~	My plans are not finished...we will meet again.	I've never met anyone like you. So strong and quick.	Celebrate your victory while you still can.
#RecordIn	HELPMAIN	GobleKing	800	800	I need help! Someone protect me~	Ugh...this is proving difficult.	Punish my attacker... I command you!	I will show you the true power of the Goblins!
#RecordIn	HELPSUB	GobleKing	800	800	-	-	-	-
#RecordIn	RACERESCUE	GobleKing	800	800	-	-	-	-
#RecordIn	PIECE	MiniLips	5800000	7800000	-	"I'm tiny, but my lips take up half of my face!"	-	-
#RecordIn	ATTACK	MiniLips	10	0	-	-	-	-
#RecordIn	DAMAGED	MiniLips	10	0	-	-	-	-
#RecordIn	DEAD	MiniLips	10	0	-	-	-	-
#RecordIn	PIECE	Harkan	6200000	8200000	What beautiful eyes you have.	Hey cutie! Stop what you're doing and play with me!	"Hey, what are you doing sweetheart?"	"Where is my twin? Where, I wonder..."
#RecordIn	ATTACK	Harkan	10	0	This is how I truly feel~	Please accept my feelings for you.	"Don't be surprised, I love you."	Wait. What's happening?
#RecordIn	DAMAGED	Harkan	10	0	Hey... isn't that a bit forward?	I don't like aggressive moves...I'm not that easy.	"Don't worry, I forgive you."	Why are you so hostile?
#RecordIn	DEAD	Harkan	10	0	I thought we had a connection.	"I, I was... just kidding... didn't think you'd be so upset..."	Every rose has its thorns.	You are just cruel. I did nothing to provoke you.
#RecordIn	PIECE	WeakenedOgre	5800000	7800000	I heard one of my distant cousins married a princess.	I wish I could find a wife...	"Marriage, children, happiness... what do these things mean to me?"	I wish I was a teenager again.
#RecordIn	ATTACK	WeakenedOgre	10	0	How stupid of you to underestimate my strength. You'll regret it.	Whoa! I'm not a coward!	Uh oh!	"Don't judge me by how I look, or you'll be sorely surprised."
#RecordIn	DAMAGED	WeakenedOgre	10	0	"Oh, Is that all you have?"	I'm stronger than people think!	You can't overcome destiny. You will die!	I'm not as powerful as I used to be...
#RecordIn	DEAD	WeakenedOgre	10	0	Oh no... how was this possible?	"If I was ten years younger, you would have been dead..."	"Ogres, please avenge me!"	Old age weakened me too much.
#RecordIn	PIECE	KingCall	6000000	8000000	Crush them all!	I'm going to eat everything in sight!	"Smash 'em all, eat 'em all!"	Smash 'em all! Eat 'em all!
#RecordIn	ATTACK	KingCall	10	0	I will crush you!	It's feeding time! Come here...	"Smash, smash.. Bash..!"	"Crush, bash!"
#RecordIn	DAMAGED	KingCall	10	0	Ahhhhh....	"Oh, it hurts... stop that!"	You will suffer for your insolence.	Crrr...ack. 
#RecordIn	DEAD	KingCall	10	0	S..ma..sh..them~	Aaaahhh 	I'm dying!	Cru..sh....em...
#RecordIn	PIECE	LightingViVi	6200000	8200000	Can dreams really come true?	"I love it, when the air crackles around me!"	I like Ice Vivi more than Fire Vivi.	-
#RecordIn	ATTACK	LightingViVi	10	0	"Hey, what are your dreams? Hopes? Desires?"	Our meeting is no coincidence... it was meant to be!	I deliver when I have to!	-
#RecordIn	DAMAGED	LightingViVi	10	0	It's a sad day when merely asking questions can get you killed.	"I'm sorry to say, but your are a weakling."	What's happening? I thought I had you beaten!	-
#RecordIn	DEAD	LightingViVi	10	0	Not fair... I had so much to do!	I will admit my defeat... it is my fate.	You of all people... how did you defeat me?	-
#RecordIn	PIECE	VampireBat	6200000	8200000	"Young blood is the best, but it's so hard to come by."	Aha! A fresh source of blood. Welcome!	I hear vampires wear black capes. Maybe I should wear one too.	-
#RecordIn	ATTACK	VampireBat	10	0	"Hey, keep your neck clean for me! Hahah"	Gross! Your blood tastes awful!	"Now, this is definitely something different..."	-
#RecordIn	DAMAGED	VampireBat	10	0	Stand still. I can't get a clean bite.	"Can't you see I'm busy? I'm eating, here!"	"Garlic, crosses, holy water. None have any effect on me."	-
#RecordIn	DEAD	VampireBat	10	0	No...not yet...	How can you kill me on an empty stomache?	Aaaacckk!!	-
#RecordIn	PIECE	Prisoner	6200000	8200000	I ate nothing but scraps for fifteen years.	"My, I've been pardoned! Should I go back?"	I have to succeed! I mustn't be caught!	"Run away, or you will be caught by the torturer!"
#RecordIn	ATTACK	Prisoner	10	0	Who do you think you are?	I trained a lot in prison...and am ready to fight!	I don't have time for games!	You resemble a torturer. Are you related?
#RecordIn	DAMAGED	Prisoner	10	0	I can't waste my time with you.	This power...the torturer must be nearby.	Hey lets talk this out!  I don't want to die!	I've been trained by the Torturer for years! You can't hurt me!
#RecordIn	DEAD	Prisoner	10	0	If only I was able to escape from this place.	I can finally be free...	You should run now!  The Torturer is much stronger than I am!	I guess I'll never taste ice cream again.
#RecordIn	PIECE	Torturer	6400000	8400000	Who said I'm an amateur? I'm an expert... at torture!	La la la...who can I torture today? Hehe.	I want to test out a skill I learned last night...who'll be first?	I love hearing prisoner's screams!
#RecordIn	ATTACK	Torturer	10	0	I'll show you all of my many painful techniques.	We've only just begun! I have new techniques I want to try out!	Hah! I have found someone to practice on!	"Hey, have you seen any escapees? If not, I'll just torture you."
#RecordIn	DAMAGED	Torturer	10	0	"You have talent. As my student, I will teach you everything."	What kind of torture is this? I should add it to my repertoire!	"Good, good. That's the spirit!"	I have to admit your skills are pretty good.
#RecordIn	DEAD	Torturer	10	0	"Please, forgive me, I'll never torture again!"	I was just following orders! Forgive me!	I don't want to die.. Please forgive me.	So many interrogations left unfinished...
#RecordIn	PIECE	DeadTreeSoul	6400000	8400000	"Always, always be careful of fires!"	-	-	-
#RecordIn	ATTACK	DeadTreeSoul	10	0	-	-	-	-
#RecordIn	DAMAGED	DeadTreeSoul	10	0	-	-	-	-
#RecordIn	DEAD	DeadTreeSoul	10	0	-	-	-	-
#RecordIn	PIECE	SeniorTorturer	6400000	8400000	Life is boring here...I need a change!	"When I was a torturer, I had drive..."	I really enjoy seeing others suffer! Don't you?	I really should get out into the daylight.
#RecordIn	ATTACK	SeniorTorturer	10	0	Do you want to die? What do you want?	You are such a weakling!	Watch and learn! This is how to go about torturing someone!	You are begging for mercy already? I haven't even begun!
#RecordIn	DAMAGED	SeniorTorturer	10	0	Is this all you can do? 	Whoa!	Where did you learn those moves? Were you a torturer?	Take your best shot! 
#RecordIn	DEAD	SeniorTorturer	10	0	Maybe I am too old?	It seems that my checkered life ends here...	But... but... no one is supposed to know who I am!	My life has been a waste...
#RecordIn	PIECE	DisHarkan	6400000	8400000	I miss my tea and cheesecake.	I am one of the great Harkans.	I don't like this place...it's stuffy and smells like mold.	-
#RecordIn	ATTACK	DisHarkan	10	0	"Hey, nice to see you. Got any tea for me?"	How about these curves? Love at first sight?	The air here is posion to my delicate skin.	-
#RecordIn	DAMAGED	DisHarkan	10	0	"OK, OK... that hurts. Can we talk this through?"	Stop that!	Hahaha...is that all you can do? So pathetic.	-
#RecordIn	DEAD	DisHarkan	10	0	No...!	Is this what you wanted? My death?	You managed to turn things around...	-
#RecordIn	PIECE	KaraSolider	6400000	8400000	Templer is too scary. Way too scary!	"Should I hunt for animals in the mountains, or for humans at sea?"	I want to master magic too...then I can be strong like Templer.	I'm tired. I had to deliver a big package earlier.
#RecordIn	ATTACK	KaraSolider	10	0	You are going to die by my hand!	"If I take you to Templer, I'll get a promotion."	Die! You foul beast!	"After all my hard work, killing you will be my reward."
#RecordIn	DAMAGED	KaraSolider	10	0	Ouch! You are dangerous!	Aaaacckk! Oh no! I've been taken by surprise!	Hah...Stop tickling me...	You think I'm an easy target? We will see.
#RecordIn	DEAD	KaraSolider	10	0	Tell Templer that I am sorry~	"Templer, avenge me.."	"I slipped, and you took advantage..."	Not the reward I was expecting...
#RecordIn	HELPMAIN	KaraSolider	800	800	-	-	-	-
#RecordIn	HELPSUB	KaraSolider	800	800	I'm coming to help you Templer!	It's your turn now... come here!	"I'm here for you, Templer."	I'm here! Hold on!
#RecordIn	RACERESCUE	KaraSolider	800	800	-	-	-	-
#RecordIn	PIECE	KaraTempler	6400000	8400000	Our soldiers aren't doing well these days.	"Somewhere, there is a legendary magic book. I must find it."	"Karasian soldiers are stupid, but their loyalty is unmatched."	What are the soldiers doing? I need more items.
#RecordIn	ATTACK	KaraTempler	10	0	"You've got two choices: fire, or curses. Which do you prefer?"	What are you looking at?	You will suffer for your insolence.	"For you, I'll use my most powerful magic."
#RecordIn	DAMAGED	KaraTempler	10	0	I'll test my powers on you.	Making your last ditch effort? Give it your best shot!	You're harder to deal with than I thought.	What? Are you trying to make me laugh? Try harder!
#RecordIn	DEAD	KaraTempler	10	0	Aaaakkkk~	I was over confident.	No! How? I didn't think you were that strong!	I will have my revenge on you.
#RecordIn	HELPMAIN	KaraTempler	800	800	I can't let this happen~	My magic isn't working!  Someone help me!	Come quickly--help!	Please... anyone... I need help here.
#RecordIn	HELPSUB	KaraTempler	800	800	Hey! I can help you!	I'm coming... just hold on...	I can easily handle this.	-
#RecordIn	RACERESCUE	KaraTempler	800	800	-	-	-	-
#RecordIn	PIECE	KingSpider	7800000	8800000	-	-	-	-
#RecordIn	ATTACK	KingSpider	10	0	-	-	-	-
#RecordIn	DAMAGED	KingSpider	10	0	-	-	-	-
#RecordIn	DEAD	KingSpider	10	0	Somebody help me up!	-	-	-
#RecordIn	PIECE	Pixy	7800000	8800000	-	-	-	-
#RecordIn	ATTACK	Pixy	10	0	I'll carve you up with my trident! Haha	-	-	-
#RecordIn	DAMAGED	Pixy	10	0	"Ouch, my head hurts!"	-	-	-
#RecordIn	DEAD	Pixy	10	0	-	-	-	-
#RecordIn	PIECE	ArchonJuinor	7800000	8800000	"Welcome everyone, this is the town of Uruga!"	-	-	-
#RecordIn	ATTACK	ArchonJuinor	10	0	-	-	-	-
#RecordIn	DAMAGED	ArchonJuinor	10	0	Cree..aaak.	-	-	-
#RecordIn	DEAD	ArchonJuinor	10	0	"I believed in you, how could you do this to me? I hate you."	-	-	-
#RecordIn	PIECE	Orc	7800000	8800000	Uuurgg.	-	-	-
#RecordIn	ATTACK	Orc	10	0	-	-	-	-
#RecordIn	DAMAGED	Orc	10	0	-	-	-	-
#RecordIn	DEAD	Orc	10	0	How could I have been defeated.	-	-	-
#RecordIn	PIECE	Pinky	7800000	8800000	Woohoo! This is great weather!	-	-	-
#RecordIn	ATTACK	Pinky	10	0	-	-	-	-
#RecordIn	DAMAGED	Pinky	10	0	-	-	-	-
#RecordIn	DEAD	Pinky	10	0	"Oh no, the world is spinning..."	-	-	-
#RecordIn	PIECE	MiniJewelKeeper	7800000	8800000	-	-	-	-
#RecordIn	ATTACK	MiniJewelKeeper	10	0	-	-	-	-
#RecordIn	DAMAGED	MiniJewelKeeper	10	0	-	-	-	-
#RecordIn	DEAD	MiniJewelKeeper	10	0	-	-	-	-
#RecordIn	PIECE	LittleRunningBas	7800000	8800000	-	-	-	-
#RecordIn	ATTACK	LittleRunningBas	10	0	-	-	-	-
#RecordIn	DAMAGED	LittleRunningBas	10	0	-	-	-	-
#RecordIn	DEAD	LittleRunningBas	10	0	-	-	-	-
#RecordIn	PIECE	KingMushRoom	7800000	8800000	I need food. Can anyone hear me?	-	-	-
#RecordIn	ATTACK	KingMushRoom	10	0	I threw three punches in less than a second. Did you see 'em?	-	-	-
#RecordIn	DAMAGED	KingMushRoom	10	0	-	-	-	-
#RecordIn	DEAD	KingMushRoom	10	0	-	-	-	-
#RecordIn	PIECE	GoldenBat	7800000	8800000	-	-	-	-
#RecordIn	ATTACK	GoldenBat	10	0	-	-	-	-
#RecordIn	DAMAGED	GoldenBat	10	0	-	-	-	-
#RecordIn	DEAD	GoldenBat	10	0	-	-	-	-
#RecordIn	PIECE	OrcHunter	7800000	8800000	-	-	-	-
#RecordIn	ATTACK	OrcHunter	10	0	-	-	-	-
#RecordIn	DAMAGED	OrcHunter	10	0	-	-	-	-
#RecordIn	DEAD	OrcHunter	10	0	-	-	-	-
#RecordIn	PIECE	Nox	7800000	8800000	-	-	-	-
#RecordIn	ATTACK	Nox	10	0	Great! I'll test my new moves on you!	-	-	-
#RecordIn	DAMAGED	Nox	10	0	-	-	-	-
#RecordIn	DEAD	Nox	10	0	-	-	-	-
#RecordIn	PIECE	Lips	7800000	8800000	"Oh no! Where are you, my love?"	-	-	-
